رقم البلوك / Block Number2,رقم القطعة / Land Number,النموذج / Model,مساحة الأرض / Land Area,Build-UP Area,عدد غرف النوم / Number of Bedrooms,عدد دورات المياه / Number Of Bathrooms ,Master Bedroom size / مساحة غرفة النوم الرئيسية,Living Room size / مساحة غرفة المعيشة,Kitchen size / مساحة المطبخ,Guestroom size / مساحة المجلس,Unit front compass / واجهة الوحدة,Availability,,,,
6,90,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,91,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,92,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,93,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
6,94,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
6,95,B (Zero Lot),285.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
7,96,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
7,97,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,98,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,99,B (Zero Lot),300.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
7,100,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
7,101,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
7,102,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,103,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
7,104,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved ,,,,
7,105,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
7,106,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
7,107,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
7,108,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
8,109,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
8,110,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
8,111,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved,,,,
8,112,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
8,113,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved,,,,
8,114,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
8,115,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
8,116,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
8,117,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
8,118,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved ,,,,
8,119,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
8,120,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
8,121,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
8,122,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
8,123,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
8,124,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
8,125,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
8,126,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
8,127,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
8,128,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
8,129,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved,,,,
8,130,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
8,131,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved,,,,
8,132,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
8,133,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
8,134,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
9,135,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
9,136,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
9,137,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
9,138,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
9,139,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
9,140,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
9,141,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
9,142,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
9,143,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
9,144,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
9,145,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Availabel.,,,,
9,146,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
9,147,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
9,148,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
9,149,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
9,150,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
9,151,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
9,152,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
10,153,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
10,154,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
10,155,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
10,156,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
10,157,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
10,158,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
10,159,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
10,160,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
10,161,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
10,162,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
10,163,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Availabel.,,,,
10,164,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
10,165,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
10,166,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
10,167,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
10,168,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
10,169,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
10,170,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
11,171,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
11,172,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
11,173,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
11,174,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
11,175,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
11,176,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
11,177,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
11,178,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved,,,,
11,179,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
11,180,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved,,,,
11,181,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,East,Reserved,,,,
11,182,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,West,Reserved ,,,,
11,183,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
11,184,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
11,185,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
11,186,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
11,187,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
11,188,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
11,189,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
11,190,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
11,191,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
11,192,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
11,193,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
11,194,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
11,195,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
11,196,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
12,197,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
12,198,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Availabel.,,,,
12,199,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
12,200,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
12,201,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
12,202,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Reserved,,,,
12,203,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,East,Reserved,,,,
12,204,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,West,Availabel.,,,,
12,205,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,East,Reserved,,,,
12,206,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,West,Reserved,,,,
13,207,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
13,208,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
13,209,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
13,210,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
13,211,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
13,212,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
13,213,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
13,214,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
13,215,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
13,216,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
13,217,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
13,218,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
13,219,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
13,220,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
13,221,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
13,222,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,*
13,223,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
13,224,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
13,225,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
13,226,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved ,,,,
13,227,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
13,228,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
13,229,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
13,230,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
13,231,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
13,232,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
13,233,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
13,234,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved ,,,,
14,235,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
14,236,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
14,237,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
14,238,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
14,239,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
14,240,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
14,241,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
14,242,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
14,243,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
14,244,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
