رقم البلوك / Block Number2,رقم القطعة / Land Number,النموذج / Model,مساحة الأرض / Land Area,Build-UP Area,عدد غرف النوم / Number of Bedrooms,عدد دورات المياه / Number Of Bathrooms ,Master Bedroom size / مساحة غرفة النوم الرئيسية,Living Room size / مساحة غرفة المعيشة,Kitchen size / مساحة المطبخ,Guestroom size / مساحة المجلس,Unit front compass / واجهة الوحدة,Availability,,,,
27,521,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
27,522,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
27,523,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
27,524,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
27,525,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
29,526,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
29,527,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
29,528,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,529,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
29,530,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,531,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
29,532,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,533,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
29,534,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,535,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
29,536,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,537,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
29,538,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
29,539,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
29,540,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
29,541,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
29,542,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,543,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Availabel.,,,,
29,544,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,545,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
29,546,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
29,547,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
29,548,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
29,549,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
29,550,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
29,551,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
29,552,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
29,553,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
28,554,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
28,555,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
28,556,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
28,557,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
28,558,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
28,559,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
28,560,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Availabel.,,,,
28,561,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Availabel.,,,,
28,562,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Availabel.,,,,
28,563,A (Duplex),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Availabel.,,,,
28,564,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,North,Reserved,,,,
28,565,A (Zero Lot),250.000,351.046,3,6,29.55,26.40,22.62,16.00,South,Reserved,,,,
28,566,B (Zero Lot),375.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
28,567,B (Zero Lot),375.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Availabel.,,,,
30,568,B (Zero Lot),375.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
30,569,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Availabel.,,,,
30,570,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
30,571,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
30,572,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Availabel.,,,,
30,573,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
30,574,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
31,575,B (Zero Lot),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
31,576,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Availabel.,,,,
31,577,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
31,578,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Availabel.,,,,
31,579,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Availabel.,,,,
31,580,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Availabel.,,,,
31,581,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
31,582,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Availabel.,,,,
31,583,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
31,584,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
31,585,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
31,586,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
31,587,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
31,588,B (Zero Lot),325.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
